epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.051,0.45144,1.72686,0.86517,0.78832,0.94802,0.92594,0.8773,0.35615,1.28195,0.83208,0.000416146,0.000416146,0.000416146
2,621.868,0.41756,1.135,0.86884,0.88527,0.90604,0.93288,0.86113,0.37174,0.91402,0.85003,0.000750364,0.000750364,0.000750364
3,908.714,0.39979,0.94449,0.86058,0.87364,0.94754,0.95458,0.88094,0.38254,0.90811,0.85199,0.00100208,0.00100208,0.00100208
4,1198.53,0.3636,0.83913,0.85178,0.95623,0.94394,0.97743,0.9246,0.29666,0.67654,0.82306,0.00087875,0.00087875,0.00087875
5,1484.86,0.33145,0.71205,0.84252,0.9323,0.97004,0.96884,0.91223,0.28847,0.60538,0.83277,0.000755,0.000755,0.000755
6,1783.24,0.31587,0.65977,0.83386,0.96517,0.93027,0.98081,0.94153,0.25141,0.5274,0.81279,0.00063125,0.00063125,0.00063125
7,2069.26,0.28779,0.57068,0.82276,0.93235,0.94623,0.96853,0.94345,0.20637,0.56207,0.80008,0.0005075,0.0005075,0.0005075
8,2357.57,0.25679,0.53593,0.80811,0.95931,0.96545,0.97906,0.95425,0.1992,0.45595,0.79807,0.00038375,0.00038375,0.00038375
9,2639.31,0.22521,0.47919,0.79717,0.96191,0.95354,0.98066,0.95802,0.17247,0.42386,0.78936,0.00026,0.00026,0.00026
10,2937.41,0.2164,0.47,0.80133,0.94206,0.98481,0.9836,0.96529,0.18704,0.42442,0.79135,0.00013625,0.00013625,0.00013625
