epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.468,0.44071,1.73538,0.84685,0.69044,0.90023,0.81354,0.77924,0.30833,1.26357,0.80712,0.0004125,0.0004125,0.0004125
2,436.223,0.39095,0.9336,0.84494,0.73109,0.88869,0.89459,0.86456,0.2545,0.97697,0.80084,0.000788123,0.000788123,0.000788123
3,598.608,0.36746,0.82765,0.83891,0.88845,0.88118,0.95645,0.90892,0.31877,0.85437,0.81751,0.0011225,0.0011225,0.0011225
4,773.101,0.35745,0.75238,0.83936,0.91321,0.91967,0.94724,0.9077,0.25506,0.69953,0.80433,0.00106437,0.00106437,0.00106437
5,942.572,0.3234,0.66288,0.82986,0.93427,0.95326,0.96073,0.93375,0.24162,0.54691,0.79752,0.0010025,0.0010025,0.0010025
6,1105.67,0.31761,0.62223,0.83171,0.95577,0.97239,0.97918,0.94986,0.2303,0.4843,0.79823,0.000940625,0.000940625,0.000940625
7,1271.01,0.3076,0.62597,0.83379,0.95527,0.93879,0.96994,0.94316,0.24405,0.50193,0.79617,0.00087875,0.00087875,0.00087875
8,1446.07,0.29004,0.55607,0.82371,0.96536,0.97451,0.97507,0.95771,0.21684,0.43019,0.7904,0.000816875,0.000816875,0.000816875
9,1627,0.27577,0.54282,0.82435,0.96173,0.97877,0.98065,0.95729,0.22437,0.42897,0.79302,0.000755,0.000755,0.000755
10,1836.3,0.27795,0.52081,0.82669,0.96855,0.98963,0.9863,0.96612,0.19194,0.37938,0.79126,0.000693125,0.000693125,0.000693125
11,2032.08,0.22335,0.43243,0.79263,0.94984,0.98674,0.9759,0.9584,0.18796,0.37511,0.78307,0.00063125,0.00063125,0.00063125
12,2194.41,0.21593,0.39675,0.78929,0.96409,0.96148,0.98129,0.95958,0.18564,0.3616,0.78491,0.000569375,0.000569375,0.000569375
13,2378.08,0.21564,0.3868,0.79226,0.96333,0.97998,0.98509,0.96413,0.22087,0.3641,0.79092,0.0005075,0.0005075,0.0005075
14,2549.83,0.2104,0.3702,0.78773,0.94804,0.97912,0.9897,0.97292,0.17917,0.33521,0.78347,0.000445625,0.000445625,0.000445625
15,2703.16,0.19942,0.34428,0.7841,0.93934,0.97541,0.98406,0.97282,0.14576,0.33466,0.78141,0.00038375,0.00038375,0.00038375
16,2859.17,0.19285,0.33538,0.78673,0.94956,0.96873,0.98755,0.96892,0.19822,0.33303,0.78464,0.000321875,0.000321875,0.000321875
17,3011.01,0.18505,0.31674,0.77965,0.96538,0.98873,0.99046,0.97922,0.15454,0.27212,0.7781,0.00026,0.00026,0.00026
18,3163.55,0.17836,0.29843,0.77967,0.96953,0.97972,0.99133,0.97718,0.14732,0.26487,0.77784,0.000198125,0.000198125,0.000198125
19,3319.45,0.16853,0.28609,0.77849,0.96792,0.97895,0.99149,0.98211,0.16246,0.26458,0.77842,0.00013625,0.00013625,0.00013625
20,3474.71,0.16313,0.27965,0.77801,0.97458,0.99061,0.9922,0.98219,0.12827,0.23941,0.77737,7.4375e-05,7.4375e-05,7.4375e-05
